id,username,price,likes,size,brand,title,img_link,link,scrap_date
4191013294,myriamanas,16.0,2,S / 36 / 8,Nike,Veste nike ,https://images1.vinted.net/t/03_0089a_eJfxFMkwfeNenFHnCqhgbAd9/310x430/1709757976.jpeg?s=579dde5f6a6d1e443c1cb7a5f92cd8377370751d,https://www.vinted.fr/items/4191013294-veste-nike?referrer=catalog,2024-03-06 20:57:27
4190964086,sunisup22,13.0,4,M / 38 / 10,Nike,Veste sport Nike ,https://images1.vinted.net/t/02_003e4_mktxbZcauGjkmykoFVsAuBce/310x430/r1/1709757170.jpeg?s=ad0d6d30ce710ab74592a8d843c794ae8463ffd2,https://www.vinted.fr/items/4190964086-veste-sport-nike?referrer=catalog,2024-03-06 20:57:27
4190944139,retrofootball.shop,70.0,3,M,Nike,Veste du Brésil cbf ,https://images1.vinted.net/t/03_01f6f_Xusjawo3XpNLHQWrLxfU4agJ/310x430/1709756850.jpeg?s=d5ce197a5f2d76d5564e0b2c38a9a7cd97b74288,https://www.vinted.fr/items/4190944139-veste-du-bresil-cbf?referrer=catalog,2024-03-06 20:57:27
4190881869,alphonso.69,20.0,0,M / 38 / 10,Nike,Veste Vintage ,https://images1.vinted.net/t/01_02313_5z3FZN2VarSBLyQa6nuLSvQC/310x430/1709755867.jpeg?s=a449696d3e6d4d729607a66b2f648766f4a8c889,https://www.vinted.fr/items/4190881869-veste-vintage?referrer=catalog,2024-03-06 20:57:27
4190776630,astro18,40.0,0,M,Nike,Veste/sweat de sport nike vintage ,https://images1.vinted.net/t/02_01bba_3FDbQBm9RWJV3XM8Du4tJucQ/310x430/1709754237.jpeg?s=ab5b1d792c87e8c8db685017190c772ed56c13b6,https://www.vinted.fr/items/4190776630-vestesweat-de-sport-nike-vintage?referrer=catalog,2024-03-06 20:57:27
4190737139,arthur_brnsnkrs,95.0,4,XS,Nike,Ensemble Nike tech fleece blanc et bleu ciel,https://images1.vinted.net/t/02_00fa4_oxTgQKH2GEw9ZV3SYJLg8Hcs/310x430/1709753634.jpeg?s=bb29c1b488b491f1118ae2e8e243b60077465522,https://www.vinted.fr/items/4190737139-ensemble-nike-tech-fleece-blanc-et-bleu-ciel?referrer=catalog,2024-03-06 20:57:27
4190731562,pauline.l08,10.0,0,XS / 34 / 6,Nike,Veste Nike femme ,https://images1.vinted.net/t/01_00ab9_b9kok9DzWzqZPazbJTSiHWEU/310x430/1709753549.jpeg?s=03f2e580a6d6b4fdae5406c4b4cad1b36435570a,https://www.vinted.fr/items/4190731562-veste-nike-femme?referrer=catalog,2024-03-06 20:57:27
4190710660,nathan-doussot9,5.0,1,M,Nike,Veste de sport NIKE ,https://images1.vinted.net/t/03_01e3b_d2rsZaMB39buk9k3tuk5JRV4/310x430/1709753224.jpeg?s=4aa497ab8894c26b9ac5e43f5a79ec1017edef3c,https://www.vinted.fr/items/4190710660-veste-de-sport-nike?referrer=catalog,2024-03-06 20:57:27
4190671095,nzoo.22,60.0,2,M,Nike,Veste coupe vent Inter Milan,https://images1.vinted.net/t/03_02701_A68Hzj2d6gPZp6mndLyVDW4r/310x430/1709752613.jpeg?s=7410f1546fd5dc69dbdbbc36bcc7cbe55b260096,https://www.vinted.fr/items/4190671095-veste-coupe-vent-inter-milan?referrer=catalog,2024-03-06 20:57:27
4190658313,msk_927,50.0,2,S,Nike,Pull Nike Running ,https://images1.vinted.net/t/01_0027f_2AtWNYushym4ycSF4phmahb4/310x430/1709752416.jpeg?s=b0da5ad0ebcb91592f5d80cbc506421d387cc9b9,https://www.vinted.fr/items/4190658313-pull-nike-running?referrer=catalog,2024-03-06 20:57:27
