id,username,price,likes,size,brand,title,img_link,link,scrap_date
4189699334,lf878,10.0,0,XS,Nike,Veste PSG Nike ,https://images1.vinted.net/t/01_00114_gSDY7Eo5gL1sJHieyiPt9wgr/310x430/1709740157.jpeg?s=38c4fb9b02e8983770f0696bd1e0fe844591b048,https://www.vinted.fr/items/4189699334-veste-psg-nike?referrer=catalog,2024-03-06 15:49:55
4189671384,inzaghirl,8.0,0,M / 38 / 10,Nike,Veste de survêtement jogging femme M,https://images1.vinted.net/t/01_001e9_vPkXi8JWUFUNjicGHpV5wc2d/310x430/1709739833.jpeg?s=95a225dcc166ed61a531203b82c235012df6de41,https://www.vinted.fr/items/4189671384-veste-de-survetement-jogging-femme-m?referrer=catalog,2024-03-06 15:49:55
4189670816,laurent77774,20.0,0,S,Nike,Veste nike noir S,https://images1.vinted.net/t/02_01c86_27WqYT7yZyVFv9QgrUgmiYmf/310x430/1709739827.jpeg?s=6aa0ebe3256a92770617b8780a23935d17ba062a,https://www.vinted.fr/items/4189670816-veste-nike-noir-s?referrer=catalog,2024-03-06 15:49:55
4189642061,wendymnt2,8.0,0,M / 38 / 10,Nike,Veste nike ,https://images1.vinted.net/t/01_01205_Xznuqrt3vVRK94zGcqN59CyR/310x430/1709739494.jpeg?s=a60fffba8cb5f643b83d8dc19250fb0b55a00b26,https://www.vinted.fr/items/4189642061-veste-nike?referrer=catalog,2024-03-06 15:49:55
4189580841,oumzakhou,10.0,0,13 ans / 158 cm,Nike,Veste,https://images1.vinted.net/t/01_00b45_fnGhbd5oVkjYSDC6C7bhLsr8/310x430/1709738779.jpeg?s=7a3be18ebd95d1d3ef47d765600091547ed3b979,https://www.vinted.fr/items/4189580841-veste?referrer=catalog,2024-03-06 15:49:55
