id,username,price,likes,size,brand,title,img_link,link,scrap_date
4187992727,lauratricot17,50.0,0,M,Nike,Veste Nike ,https://images1.vinted.net/t/01_01afc_taK542fUbPGPKWoSbBHQrtQv/310x430/1709719414.jpeg?s=ef899a4257d75d910bace83fae342c85eda7c64a,https://www.vinted.fr/items/4187992727-veste-nike?referrer=catalog,2024-03-06 10:04:08
4184153562,closetafull,24.95,13,M,Nike,Track Pant Nike Baggy Navy Blanco Bordado Sport Poliéster Algodón Men M🆕,https://images1.vinted.net/t/01_00006_pJxNroxzvCUp2WgoYHKRfaUU/310x430/1709635735.jpeg?s=36fe8b2570aefcb2347a374bc899debb99469548,https://www.vinted.fr/items/4184153562-track-pant-nike-baggy-navy-blanco-bordado-sport-poliester-algodon-men-m?referrer=catalog,2024-03-06 10:04:08
4183998605,closet.facto,64.0,0,M,Nike,veste sans capuche zip jacket track Nike zippé taille M bleu marine blanc logo veste technique,https://images1.vinted.net/t/01_01fb8_V3jEvNsXK5gVwi2Q7VYGNMAw/310x430/1709637506.jpeg?s=289e2c3cc3fc5851e0ed7b00a9b7abf2d2fd88e3,https://www.vinted.fr/items/4183998605-veste-sans-capuche-zip-jacket-track-nike-zippe-taille-m-bleu-marine-blanc-logo-veste-technique?referrer=catalog,2024-03-06 10:04:08
4184287590,madmax_404,27.0,5,M,Nike,Veste football PSV Eindhoven ,https://images1.vinted.net/t/02_01700_97xc3BFkfeS2E7eBYTthdSXY/310x430/1709637439.jpeg?s=c86727592da2bc5f3be32609be9c97faf2cdfea7,https://www.vinted.fr/items/4184287590-veste-football-psv-eindhoven?referrer=catalog,2024-03-06 10:04:08
4184248594,tissou2611,25.0,55,M,Nike,Veste survêtement Nike taille m bleu très bon état ,https://images1.vinted.net/t/02_02080_xKazcRkRPdi47y75QgyPp821/310x430/1709636934.jpeg?s=1262979faae9d7333d753c61b1268419815bf43b,https://www.vinted.fr/items/4184248594-veste-survetement-nike-taille-m-bleu-tres-bon-etat?referrer=catalog,2024-03-06 10:04:08
4184206887,lilychap42,9.0,5,S,Nike,Vends veste survêtement Nike fc Barcelone ,https://images1.vinted.net/t/02_015ff_SijVtLtvHpigyz5nAsNCGCvn/310x430/1709636400.jpeg?s=c0b5e3588e4574aea12671deafc4aa308bbf8580,https://www.vinted.fr/items/4184206887-vends-veste-survetement-nike-fc-barcelone?referrer=catalog,2024-03-06 10:04:08
