id,username,price,likes,size,brand,title,img_link,link,scrap_date
4187934864,yamine.sna,25.0,0,S,Nike,Veste Nike ,https://images1.vinted.net/t/03_023d8_5KBFPB1K1MR8n1ZrNhKWoN2W/310x430/1709718633.jpeg?s=b3bc98338012e2fcc9dab88f771e0ed116256800,https://www.vinted.fr/items/4187934864-veste-nike?referrer=catalog,2024-03-06 10:01:05
4187867425,tr8stan,15.0,0,S,Nike,Veste nike dri fit,https://images1.vinted.net/t/02_0261e_c5vuByLwWkcXK1D6F5z6ATkW/310x430/1709717681.jpeg?s=e9c7455f653a83207e40081c2aa3500939e8943b,https://www.vinted.fr/items/4187867425-veste-nike-dri-fit?referrer=catalog,2024-03-06 10:01:05
4187795083,thomas21109,10.0,3,S,Nike,Veste Nike ,https://images1.vinted.net/t/03_01432_ndaPr3GQ9VLnUa4fXN5KMigk/310x430/1709716587.jpeg?s=9b73208b2c5df480b533d569c4e3d2addcf4cc77,https://www.vinted.fr/items/4187795083-veste-nike?referrer=catalog,2024-03-06 10:01:05
4187721375,didinetoutplein,52.0,1,M,Nike,Ensemble jogging Nike vintage ,https://images1.vinted.net/t/03_00420_YGVXSysWg6cKxhdZ2NbP2wPm/310x430/1709715322.jpeg?s=2c11a94952f10678478afd5015a1a1c44ffd851b,https://www.vinted.fr/items/4187721375-ensemble-jogging-nike-vintage?referrer=catalog,2024-03-06 10:01:05
4187666271,deldarra,8.0,1,M,Nike,Veste Nike homme m,https://images1.vinted.net/t/03_01d54_dKYQkAL4THMyg88sZ8iAGpyy/310x430/1709714270.jpeg?s=e9ced9d2ad657c72c597f681e603f9fdfb9152a4,https://www.vinted.fr/items/4187666271-veste-nike-homme-m?referrer=catalog,2024-03-06 10:01:05
4187644098,deldarra,8.0,0,M,Nike,Veste homme nike,https://images1.vinted.net/t/02_01b37_PM1pmsG3pmGJQakUDMgMhpjS/310x430/1709713802.jpeg?s=8659bf68ff2d970e20bfb4204eba3ed4a38642ce,https://www.vinted.fr/items/4187644098-veste-homme-nike?referrer=catalog,2024-03-06 10:01:05
4187502512,ninieau,5.0,1,S,Nike,Veste Nike,https://images1.vinted.net/t/03_00eb2_7QYyNfKYbGu12YDgFha7MjVK/310x430/1709709631.jpeg?s=5abf1a0ac234b7078e586e3f2c81a3a367f3bfa2,https://www.vinted.fr/items/4187502512-veste-nike?referrer=catalog,2024-03-06 10:01:05
4187400433,louis864,90.0,9,M,Nike,Maillot pro France Griezmann 22/23,https://images1.vinted.net/t/03_0140a_h8PLefsDVhxfkxgNyL1PsAeC/310x430/1709692634.jpeg?s=c1028b6567bc3e0e382580a71562814f29c0d5fd,https://www.vinted.fr/items/4187400433-maillot-pro-france-griezmann-2223?referrer=catalog,2024-03-06 10:01:05
4187373306,b2_95,65.0,15,M,Nike,Veste running nike noir neuf ,https://images1.vinted.net/t/02_012a6_wUrr2syJFbJhuU8bQzYiazVy/310x430/1709685818.jpeg?s=2e14bd1b0c984ff314c882a070c6da896091e3a2,https://www.vinted.fr/items/4187373306-veste-running-nike-noir-neuf?referrer=catalog,2024-03-06 10:01:05
4187365781,alexdlc10,34.99,1,S,Nike,Veste homme vintage 80s Nike brodé ,https://images1.vinted.net/t/03_01a41_cSokNik3f1oHLSeX2bqeMpw5/310x430/1709684764.jpeg?s=d712e0215571ace853dbcccaeede1f1c44da019a,https://www.vinted.fr/items/4187365781-veste-homme-vintage-80s-nike-brode?referrer=catalog,2024-03-06 10:01:05
