id,username,price,likes,size,brand,title,img_link,link,scrap_date
4189101019,ceciliacampos123,70.0,0,M / 38 / 10,Nike,Ensemble Nike ,https://images1.vinted.net/t/02_01b70_F63kULYCiqZ68ijKEPZDd92X/310x430/1709733235.jpeg?s=a49d2a0bcd6f6d4ce0d73c8c4c661735bdc16409,https://www.vinted.fr/items/4189101019-ensemble-nike?referrer=catalog,2024-03-06 13:57:35
4189081708,jasminemhmd,15.0,0,M,Nike,Short NIKE ,https://images1.vinted.net/t/01_01e15_LL5ZGuvweUmBLFkb9kUGZ88o/310x430/1709733016.jpeg?s=12749d16c4250d23005d861b08d0fac0aa6e052d,https://www.vinted.fr/items/4189081708-short-nike?referrer=catalog,2024-03-06 13:57:35
4189080602,milan1918,12.5,0,M,Nike,Nike sport vest ,https://images1.vinted.net/t/01_02221_a98SLR2UT6q3cmp1qVAC1kq5/310x430/1709733003.jpeg?s=7821758905ec791df1fd6d3f1bd00db426ed7a19,https://www.vinted.fr/items/4189080602-nike-sport-vest?referrer=catalog,2024-03-06 13:57:35
