id,username,price,likes,size,brand,title,img_link,link,scrap_date
4189852753,alexine_lvq,4.0,0,M / 38 / 10,Nike,Veste à capuche ,https://images1.vinted.net/t/03_00149_uBxFBt3LKfPxak9yQi8TFmUk/310x430/1709741917.jpeg?s=9a46ba36f6312560cb4c67a486f32c0f32e8c7f2,https://www.vinted.fr/items/4189852753-veste-a-capuche?referrer=catalog,2024-03-06 16:26:44
4189846163,lili6410,45.0,0,13 ans / 158 cm,Nike,Veste Nike Tech,https://images1.vinted.net/t/03_015a4_33sr5L6D59D3wSQjmzhCcVNw/310x430/1709741842.jpeg?s=1de1fbf5b89cc05231c0609e09c7d0113b6fd5ec,https://www.vinted.fr/items/4189846163-veste-nike-tech?referrer=catalog,2024-03-06 16:26:44
4189827524,noahconstant,40.0,0,XS,Nike,Veste nike AWF PSG ,https://images1.vinted.net/t/03_00349_2Zc1Bu4pUjXf8KUZ9YDacQNC/310x430/1709741632.jpeg?s=3f74a17c04cb0807a69dc5f900259762f0138c17,https://www.vinted.fr/items/4189827524-veste-nike-awf-psg?referrer=catalog,2024-03-06 16:26:44
