id,username,price,likes,size,brand,title,img_link,link,scrap_date
4191031555,zepeekk4,100.0,0,M,Nike,Ensemble Nike ,https://images1.vinted.net/t/02_013b2_B22YZgcrs9e9tyUzQ6nhSFjD/310x430/1709758284.jpeg?s=6916a5e5d176bea321afecc38c4b03a5bede6557,https://www.vinted.fr/items/4191031555-ensemble-nike?referrer=catalog,2024-03-06 20:57:39
4191028290,roselaft,15.0,1,M,Nike,Pantalon de survêtement Nike ,https://images1.vinted.net/t/01_002be_rv5hWE45D1PbGyJCyFisU3Z3/310x430/1709758229.jpeg?s=b8eff2107f6d1103d4b8668d65e5e9eaf4a2c077,https://www.vinted.fr/items/4191028290-pantalon-de-survetement-nike?referrer=catalog,2024-03-06 20:57:39
4190998996,htc24,47.0,1,XS / 34 / 6,Nike,Pantalon jogging Nike Fleece ,https://images1.vinted.net/t/03_01fdb_ASGNjCZE93V6fqbNQHkBhhvY/310x430/1709757740.jpeg?s=55b114d70070e6d47ae4b61a1f35904bb5f3cfff,https://www.vinted.fr/items/4190998996-pantalon-jogging-nike-fleece?referrer=catalog,2024-03-06 20:57:39
4190986693,htc24,47.0,1,M,Nike,Pantalon jogging rose Nike Club Fleece ,https://images1.vinted.net/t/01_01230_atz48D9E2pUKAhcbJUbTe1eW/310x430/1709757538.jpeg?s=4ea1b36541e35cbb8e6c0c183141a4bd4c6f4b1a,https://www.vinted.fr/items/4190986693-pantalon-jogging-rose-nike-club-fleece?referrer=catalog,2024-03-06 20:57:39
4190971449,arno5507,45.0,0,M,Nike,Ensemble Noir Nike L ou M,https://images1.vinted.net/t/03_015a8_giiwHfhDtGYBdgaqCpPL4CmC/310x430/1709757286.jpeg?s=a1f386ee208d57e5c39c1b65317c692b1ae433c2,https://www.vinted.fr/items/4190971449-ensemble-noir-nike-l-ou-m?referrer=catalog,2024-03-06 20:57:39
4190944940,nina.34000,35.0,2,S / 36 / 8,Nike,Jogging Nike ,https://images1.vinted.net/t/02_005e8_29K4aPhWNLWqb3YbQjsGpTJM/310x430/1709756863.jpeg?s=d7862705b5cb98231db6550535646b5f0a5db697,https://www.vinted.fr/items/4190944940-jogging-nike?referrer=catalog,2024-03-06 20:57:39
4190937320,tssm9,15.0,0,XS / 34 / 6,Nike,jogging noir nike ,https://images1.vinted.net/t/03_010a6_rxPWeTd5o6gHwi28UwmrFRwx/310x430/1709756742.jpeg?s=bcbf87847ccb67f944795678f885f8de7be51025,https://www.vinted.fr/items/4190937320-jogging-noir-nike?referrer=catalog,2024-03-06 20:57:39
4190934940,manonolivo,35.0,1,M / 38 / 10,Nike,Lot Jogging Nike ,https://images1.vinted.net/t/03_020a6_oxM54Qmh2HPzPnyRJkJ7LBdE/310x430/1709756706.jpeg?s=4326e206a249416f47e05bd19874c2509f69f73a,https://www.vinted.fr/items/4190934940-lot-jogging-nike?referrer=catalog,2024-03-06 20:57:39
4190932056,marjoriedlb,40.0,0,M / 38 / 10,Nike,Jogging Nike,https://images1.vinted.net/t/03_01e2f_ud9XRRvUXjWdXbt6BN2M6dt3/310x430/1709756660.jpeg?s=36a601445aff887cfa5bc5cdd25be4ff4aafd8b6,https://www.vinted.fr/items/4190932056-jogging-nike?referrer=catalog,2024-03-06 20:57:39
4187669416,eleamrs,10.0,2,S / 36 / 8,Nike,Legging Nike taille haute,https://images1.vinted.net/t/01_010fd_4eipvFJtkPzVimFJuYbdf2ZJ/310x430/1709714337.jpeg?s=c3614161180bea691388c0a239604087e6e0658f,https://www.vinted.fr/items/4187669416-legging-nike-taille-haute?referrer=catalog,2024-03-06 20:57:39
