id,username,price,likes,size,brand,title,img_link,link,scrap_date
4189969593,insulina57,14.0,0,13 ans / 158 cm,Nike,bas jogging garçon,https://images1.vinted.net/t/02_000bc_DXtcZWsBNhWLzAjntJ3sAxGB/310x430/1709743239.jpeg?s=2665ab9bd36fec35363a6f3de065adad27cc514e,https://www.vinted.fr/items/4189969593-bas-jogging-garcon?referrer=catalog,2024-03-06 16:41:42
4189967883,loris.bdd,10.0,0,15 ans / 170 cm,Nike,Jogging Nike homme ,https://images1.vinted.net/t/01_0069b_pT51tz3dSuDRekLzk8XAm5Yd/310x430/1709743220.jpeg?s=7680d0b060ca832b4f5eb9fd93f60da04ca79436,https://www.vinted.fr/items/4189967883-jogging-nike-homme?referrer=catalog,2024-03-06 16:41:42
4189968042,emie4928,20.0,0,XS / 34 / 6,Nike,leggings nike ,https://images1.vinted.net/t/01_0220c_L1C3gs5wCrmNfXw3t8qsYe5N/310x430/1709743222.jpeg?s=e3f039b6e97fa3ba84dd972faa03bd82438af1c5,https://www.vinted.fr/items/4189968042-leggings-nike?referrer=catalog,2024-03-06 16:41:42
4189967086,celdeni,45.0,0,XS / 34 / 6,Nike,Survêtement Nike ,https://images1.vinted.net/t/01_00454_fg3S8EmATVGg1weC9bvc6A2J/310x430/1709743210.jpeg?s=0fc2f48d820d2f66ff0ebbcd666fd0273d0f1b81,https://www.vinted.fr/items/4189967086-survetement-nike?referrer=catalog,2024-03-06 16:41:42
4189958255,insulina57,15.0,0,13 ans / 158 cm,Nike,bas de jogging garçon,https://images1.vinted.net/t/01_0088b_xYwg9ZqQbBuCeFdXPvJhmczU/310x430/1709743112.jpeg?s=6d1d210ff3d6a71c04b57d830aa776e4a9465b77,https://www.vinted.fr/items/4189958255-bas-de-jogging-garcon?referrer=catalog,2024-03-06 16:41:42
4189950921,pauldrw,26.0,0,M,Nike,Jogging Nike noir taille M ,https://images1.vinted.net/t/03_023d7_npBxyVBW1FpKAWguYkoFEJsv/310x430/1709743201.jpeg?s=e648e98db9f1319d637a29968fbfac6f5415e97d,https://www.vinted.fr/items/4189950921-jogging-nike-noir-taille-m?referrer=catalog,2024-03-06 16:41:42
4189945961,liisach,10.0,0,S / 36 / 8,Nike,Legging noir ,https://images1.vinted.net/t/02_01611_wEtPSgspXDUBG9xbWu8pxPuw/310x430/1709742971.jpeg?s=ecfaa6d232bf21fca575495bb60fcf538e4d3555,https://www.vinted.fr/items/4189945961-legging-noir?referrer=catalog,2024-03-06 16:41:42
4189928412,elisa6303,15.0,0,15 ans / 170 cm,Nike,Jogging Nike ,https://images1.vinted.net/t/02_01f34_8gA2jUApkAVxdDDyhioCkwg7/310x430/1709742772.jpeg?s=2dbf9734969a48482754bb0394f5a39e3672677a,https://www.vinted.fr/items/4189928412-jogging-nike?referrer=catalog,2024-03-06 16:41:42
4189921642,patou48100,10.0,0,XS / 34 / 6,Nike,Legging,https://images1.vinted.net/t/03_00b74_aicJ7c3SszwCtH1VH6CXg5uk/310x430/1709742696.jpeg?s=41ed875966baa0792151abe4153e8b8e505d474e,https://www.vinted.fr/items/4189921642-legging?referrer=catalog,2024-03-06 16:41:42
4189912077,chloee77chloe,15.0,1,S / 36 / 8,Nike,Legging Nike,https://images1.vinted.net/t/03_003dd_ggsEnW3TdUzw2Y62zv43umdt/310x430/1709742586.jpeg?s=6b13116c3cce10862633e06990e9dc5f65fff499,https://www.vinted.fr/items/4189912077-legging-nike?referrer=catalog,2024-03-06 16:41:42
